
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-02-23 01:09:05 /users .......................................................... ~ 504.97ms
  2026-02-23 01:09:05 /_debugbar/open ................................................... ~ 0.12ms
  2026-02-23 01:09:06 /build/assets/app-BBbKto29.css .................................... ~ 0.09ms
  2026-02-23 01:09:07 /admin/archives ................................................... ~ 0.16ms
  2026-02-23 01:09:07 /_debugbar/open ................................................... ~ 0.08ms
  2026-02-23 01:09:14 /users/create ..................................................... ~ 0.16ms
  2026-02-23 01:09:14 /_debugbar/open ................................................... ~ 0.09ms
  2026-02-23 01:09:16 /admin/archives ................................................. ~ 504.87ms
  2026-02-23 01:09:16 /_debugbar/open ................................................... ~ 0.22ms
  2026-02-23 01:10:10 /dashboard ...................................................... ~ 505.37ms
  2026-02-23 01:10:11 /_debugbar/open ................................................... ~ 0.09ms
  2026-02-23 01:10:11 /admin/archives ................................................... ~ 0.32ms
  2026-02-23 01:10:12 /build/assets/app-DgdY5Dxr.js ................................... ~ 501.98ms
  2026-02-23 01:10:12 /build/assets/theme-config-_-7EvQW4.js .......................... ~ 503.90ms
  2026-02-23 01:10:12 /build/assets/app-BBbKto29.css .................................. ~ 505.36ms
  2026-02-23 01:10:12 /logo.png ......................................................... ~ 0.10ms
  2026-02-23 01:10:12 /logo.png ......................................................... ~ 0.09ms
  2026-02-23 01:11:12 /admin/archives ................................................. ~ 502.10ms
  2026-02-23 01:11:13 /build/assets/app-DgdY5Dxr.js ..................................... ~ 0.11ms
  2026-02-23 01:11:13 /build/assets/theme-config-_-7EvQW4.js ............................ ~ 2.30ms
  2026-02-23 01:11:13 /build/assets/app-BBbKto29.css .................................... ~ 4.26ms
  2026-02-23 01:11:13 /logo.png ......................................................... ~ 0.09ms
  2026-02-23 01:11:13 /logo.png ......................................................... ~ 0.08ms
  2026-02-23 01:11:15 /export-sinta ................................................... ~ 505.39ms
  2026-02-23 01:11:16 /_debugbar/open ................................................... ~ 0.10ms
  2026-02-23 01:11:16 /build/assets/app-BBbKto29.css .................................... ~ 0.21ms
  2026-02-23 01:11:16 /logo.png ......................................................... ~ 0.50ms
  2026-02-23 01:11:16 /export-sinta ..................................................... ~ 0.13ms
  2026-02-23 01:11:16 /_debugbar/open ................................................... ~ 0.12ms
  2026-02-23 01:12:14 /export-sinta ..................................................... ~ 0.78ms
  2026-02-23 01:12:14 /build/assets/app-DgdY5Dxr.js ..................................... ~ 0.24ms
  2026-02-23 01:12:14 /build/assets/theme-config-_-7EvQW4.js ............................ ~ 4.10ms
  2026-02-23 01:12:14 /build/assets/app-BBbKto29.css .................................... ~ 8.28ms
  2026-02-23 01:12:14 /logo.png ......................................................... ~ 0.23ms
  2026-02-23 01:12:15 /logo.png ......................................................... ~ 0.08ms
  2026-02-23 01:12:31 /export-sinta ................................................... ~ 501.26ms
  2026-02-23 01:12:31 /build/assets/app-DgdY5Dxr.js ..................................... ~ 0.21ms
  2026-02-23 01:12:31 /build/assets/theme-config-_-7EvQW4.js ............................ ~ 3.44ms
  2026-02-23 01:12:31 /build/assets/app-BBbKto29.css .................................... ~ 7.75ms
  2026-02-23 01:12:31 /logo.png ......................................................... ~ 0.10ms
  2026-02-23 01:12:31 /logo.png ......................................................... ~ 0.11ms
  2026-02-23 01:13:49 /export-sinta ................................................... ~ 509.39ms
  2026-02-23 01:13:50 /build/assets/app-BBbKto29.css .................................... ~ 0.18ms
  2026-02-23 01:13:50 /build/assets/app-DgdY5Dxr.js ..................................... ~ 2.21ms
  2026-02-23 01:13:50 /build/assets/theme-config-_-7EvQW4.js ............................ ~ 3.88ms
  2026-02-23 01:13:50 /logo.png ......................................................... ~ 0.08ms
  2026-02-23 01:13:50 /logo.png ......................................................... ~ 0.25ms
  2026-02-23 01:13:59 /export-sinta ..................................................... ~ 0.55ms
  2026-02-23 01:13:59 /admin/archives ................................................... ~ 0.10ms
  2026-02-23 01:13:59 /_debugbar/open ................................................. ~ 503.60ms
  2026-02-23 01:14:00 /_debugbar/open ................................................. ~ 503.85ms
  2026-02-23 01:14:00 /build/assets/app-BBbKto29.css .................................... ~ 0.13ms
  2026-02-23 01:14:00 /logo.png ......................................................... ~ 0.09ms
  2026-02-23 01:14:00 /admin/archives ................................................. ~ 503.81ms
  2026-02-23 01:14:00 /_debugbar/open ................................................... ~ 0.10ms
  2026-02-23 01:14:03 /users ............................................................ ~ 0.52ms
  2026-02-23 01:14:03 /_debugbar/open ................................................... ~ 0.09ms
  2026-02-23 01:14:05 /laporan-penelitian ............................................. ~ 504.33ms
  2026-02-23 01:14:05 /_debugbar/open ................................................... ~ 0.09ms
  2026-02-23 01:15:10 /laporan-penelitian ............................................. ~ 508.70ms
  2026-02-23 01:15:10 /build/assets/app-BBbKto29.css .................................... ~ 0.13ms
  2026-02-23 01:15:11 /build/assets/theme-config-_-7EvQW4.js ............................ ~ 0.11ms
  2026-02-23 01:15:11 /build/assets/app-DgdY5Dxr.js ..................................... ~ 4.24ms
  2026-02-23 01:15:11 /logo.png ......................................................... ~ 0.10ms
  2026-02-23 01:15:11 /logo.png ......................................................... ~ 0.36ms
  2026-02-23 01:15:12 /admin-lppm/monev ................................................. ~ 0.16ms
  2026-02-23 01:15:12 /_debugbar/open ................................................. ~ 502.32ms
  2026-02-23 01:15:12 /build/assets/app-BBbKto29.css .................................... ~ 0.09ms
  2026-02-23 01:15:12 /logo.png ......................................................... ~ 0.08ms
  2026-02-23 01:15:12 /admin-lppm/monev ............................................... ~ 503.76ms
  2026-02-23 01:15:13 /_debugbar/open ................................................... ~ 0.15ms
  2026-02-23 01:15:15 /admin-lppm/penugasan-reviewer .................................... ~ 0.23ms
  2026-02-23 01:15:15 /_debugbar/open ................................................... ~ 0.12ms
  2026-02-23 01:15:16 /community-service .............................................. ~ 501.56ms
  2026-02-23 01:15:17 /_debugbar/open ................................................... ~ 0.20ms
  2026-02-23 01:15:18 /research ......................................................... ~ 0.18ms
  2026-02-23 01:15:18 /_debugbar/open ................................................... ~ 0.19ms
  2026-02-23 01:15:19 /dashboard ...................................................... ~ 505.08ms
  2026-02-23 01:15:19 /_debugbar/open ................................................... ~ 0.10ms
  2026-02-23 01:15:19 /logo.png ......................................................... ~ 0.43ms
  2026-02-23 01:15:20 /dashboard ...................................................... ~ 501.65ms
  2026-02-23 01:15:20 /_debugbar/open ................................................... ~ 0.09ms
  2026-02-23 01:16:12 /admin-lppm/monev ............................................... ~ 502.54ms
  2026-02-23 01:16:12 /_debugbar/open ................................................... ~ 0.11ms
